"dolphin_id","birthdate","tsd","sex","proportion_groups","proportion_social"
"ID_1160",2001-05-15,0,NA,NA,NA
"ID_468",1999-03-05,0,"FEMALE",0.155096011816839,0.910557184750733
"ID_1276",1990-10-01,0,NA,NA,NA
"ID_1442",2003-11-18,0,NA,0.0018348623853211,0.054249547920434
"ID_644",2011-10-20,0,"MALE",NA,NA
"ID_1288",2003-11-15,0,"MALE",0.0641891891891892,0.584956346541303
"ID_311",1995-11-01,0,"FEMALE",NA,NA
"ID_203",1988-12-20,0,"MALE",0.0216216216216216,0.209424083769634
"ID_225",1991-09-29,0,"FEMALE",0.0384894698620189,0.442477876106195
"ID_669",1997-05-30,0,"MALE",NA,NA
"ID_372",1993-12-01,0,"MALE",0.225949679329058,0.350622406639004
"ID_1286",1996-10-01,0,"MALE",NA,NA
"ID_1057",2003-11-01,0,"MALE",NA,NA
"ID_1405",1997-12-01,0,NA,NA,NA
"ID_608",2008-08-27,0,"FEMALE",0.0215350635008283,0.228237015362107
"ID_752",1998-11-03,0,"MALE",0.148024750118991,0.463172804532578
"ID_370",1991-09-03,0,"FEMALE",0.0393974507531866,0.543526785714286
"ID_1210",2002-11-01,0,"MALE",NA,NA
"ID_242",1989-11-01,0,"FEMALE",0.056121045392022,0.73
"ID_734",1991-05-18,0,"MALE",NA,NA
"ID_1253",1989-12-01,0,"MALE",0.0867709815078236,0.894345238095238
"ID_464",2015-10-03,0,NA,0,0.683804627249357
"ID_419",1997-11-01,0,"MALE",NA,NA
"ID_308",2000-11-01,0,"FEMALE",0.00361881785283474,0.617543859649123
"ID_37",1992-12-06,0,"FEMALE",0.0510874025441116,0.413122721749696
"ID_333",2014-10-10,0,"MALE",NA,NA
"ID_245",1997-11-01,0,"MALE",NA,NA
"ID_1200",2011-10-20,0,NA,NA,NA
"ID_1074",2005-11-01,0,"FEMALE",0.0111111111111111,0.408839779005525
"ID_1364",1988-10-15,0,"MALE",0.0490196078431373,0.471569370735406
"ID_599",1997-11-01,0,NA,NA,NA
"ID_220",1990-04-16,0,"MALE",0.0762981278700106,0.405571635311143
"ID_520",1997-10-08,0,"FEMALE",0.0477161500815661,0.865863453815261
"ID_434",1993-12-01,0,"FEMALE",0.0157068062827225,0.892768079800499
"ID_377",2007-01-15,0,"FEMALE",0.143020594965675,0.525714285714286
"ID_67",2009-12-12,0,"MALE",0.0983772819472617,0.606109324758842
"ID_265",1996-12-31,0,"MALE",NA,NA
"ID_384",2003-11-01,0,NA,NA,NA
"ID_723",1994-10-25,0,"FEMALE",0.111645299145299,0.242311276794035
"ID_1298",2014-04-01,0,NA,NA,NA
"ID_1270",1990-11-01,0,NA,NA,NA
"ID_351",1994-11-01,0,"FEMALE",0.05,0.765494137353434
"ID_1036",1988-10-01,0,"MALE",0.0123203285420945,0.337243401759531
"ID_799",1999-11-01,0,"FEMALE",NA,NA
"ID_746",1988-12-31,0,"MALE",0.0684647302904564,0.385790172642762
"ID_1377",2010-01-01,0,"FEMALE",NA,NA
"ID_1279",2002-10-20,0,NA,NA,NA
"ID_1103",1995-11-23,0,"MALE",0.0114285714285714,0.477825464949928
"ID_887",1998-11-14,0,"MALE",0.101372756071806,0.282622139764997
"ID_404",2003-01-01,0,"MALE",0.141107300342969,0.664373464373464
"ID_329",1998-11-01,0,NA,NA,NA
"ID_5",1996-12-09,0,NA,NA,NA
"ID_61",1996-10-07,0,"FEMALE",0.0176531671858775,0.369519832985386
"ID_573",2000-11-01,0,"FEMALE",NA,NA
"ID_348",2014-10-01,0,"FEMALE",NA,NA
"ID_1323",1992-11-01,0,NA,NA,NA
"ID_257",2010-01-23,0,"FEMALE",0.0501930501930502,0.957528957528958
"ID_105",2014-03-01,0,NA,NA,NA
"ID_11",1996-10-06,0,NA,NA,NA
"ID_104",2002-12-01,0,NA,NA,NA
"ID_159",1990-10-01,0,"MALE",0.0938072554049102,0.721915285451197
"ID_174",1997-11-01,0,"FEMALE",0.1,0.465894465894466
"ID_517",2002-12-06,0,"FEMALE",NA,NA
"ID_1263",2002-11-01,0,"FEMALE",NA,NA
"ID_726",1999-05-17,0,"FEMALE",0.0286650286650287,0.256615878107458
"ID_410",1989-11-01,0,"FEMALE",0.0258007117437722,0.280943025540275
"ID_25",1998-10-19,0,"FEMALE",0.135214007782101,0.764591439688716
"ID_241",2012-11-01,0,NA,NA,NA
"ID_1371",2002-12-08,0,"FEMALE",0.0300687285223368,0.182729805013928
"ID_1182",1991-01-01,0,"FEMALE",0.006765899864682,0.0597222222222222
"ID_1053",1990-10-01,0,"FEMALE",0.0417930569598921,0.804500184433788
"ID_590",2000-11-01,0,"FEMALE",0.107472712006717,0.777678571428571
"ID_1332",2012-11-01,0,NA,NA,NA
"ID_980",2009-09-17,0,"MALE",0.020746887966805,0.706122448979592
"ID_1",2011-11-20,1,"FEMALE",NA,NA
"ID_1135",2005-11-01,1,"MALE",NA,NA
"ID_694",2012-12-01,1,"MALE",NA,NA
"ID_959",2002-11-26,1,"MALE",0.151256519677572,0.504784688995215
"ID_9",2011-10-21,1,"FEMALE",NA,NA
"ID_1399",2012-11-10,1,"FEMALE",0.0254372019077901,0.0125223613595707
"ID_789",2001-10-15,1,"MALE",0.127586206896552,0.624137931034483
"ID_807",2002-11-01,1,"MALE",NA,NA
"ID_1141",2011-10-26,1,"MALE",0.0729881472239551,0.93859649122807
"ID_645",2012-03-23,1,"FEMALE",0.108370044052863,0.630606860158311
"ID_813",2003-11-01,1,"MALE",NA,NA
"ID_289",2011-11-24,1,"MALE",0.0826771653543307,0.933333333333333
"ID_877",2013-03-01,1,"MALE",0.00689655172413793,1.1440329218107
"ID_841",2005-12-10,1,"MALE",0.0691244239631336,0.75626423690205
"ID_886",2014-12-01,1,NA,NA,NA
