"dolphin_id","birthdate","tsd","sex","proportion_groups","proportion_social","avg_degree","true_degree","infected_degree","total_surveys","proportion_infected"
"ID_511",2004-12-01,0,NA,NA,NA,11,11,0,5,0
"ID_517",2002-12-06,0,"FEMALE",NA,NA,11.38,20,0,18,0
"ID_520",1997-10-08,0,"FEMALE",0.865863453815261,0.0477161500815661,22.456,49,0,40,0
"ID_530",2003-05-01,0,NA,NA,NA,16.417,28,0,12,0
"ID_555",2011-11-25,0,NA,NA,NA,17.073,22,0,7,0
"ID_573",2000-11-01,0,"FEMALE",NA,NA,24.019,38,0,9,0
"ID_589",1990-10-01,0,"FEMALE",NA,NA,24.976,34,0,8,0
"ID_590",2000-11-01,0,"FEMALE",0.777678571428571,0.107472712006717,21.412,42,0,25,0
"ID_595",1997-09-15,0,"MALE",NA,NA,9.594,14,1,8,0.0714285714285714
"ID_599",1997-11-01,0,NA,NA,NA,8.528,10,0,6,0
"ID_603",1998-12-12,0,"FEMALE",0.818397344713134,0.0452596474511672,22.196,55,0,35,0
"ID_604",2003-11-01,0,NA,NA,NA,21.289,41,0,15,0
"ID_608",2008-08-27,0,"FEMALE",0.228237015362107,0.0215350635008283,13.233,19,0,12,0
"ID_61",1996-10-07,0,"FEMALE",0.369519832985386,0.0176531671858775,16.073,48,0,21,0
"ID_612",2001-11-01,0,"FEMALE",NA,NA,12.577,24,0,12,0
"ID_617",1996-10-18,0,"FEMALE",0.536351165980796,0.0292072322670376,14.116,18,0,7,0
"ID_642",2002-02-15,0,"FEMALE",0.732106339468303,0.0436681222707424,21.954,62,0,56,0
"ID_644",2011-10-20,0,"MALE",NA,NA,16.944,29,1,10,0.0344827586206897
"ID_645",2012-03-23,1,"FEMALE",0.630606860158311,0.108370044052863,18.375,24,1,8,0.0416666666666667
"ID_653",2012-11-01,0,"MALE",0.488372093023256,0.00500834724540901,23.119,36,5,11,0.138888888888889
"ID_660",2009-11-20,0,"MALE",NA,0.256189451022605,24.728,40,1,10,0.025
"ID_668",1995-08-23,0,"MALE",0.0341207349081365,0.0742417383431417,15.102,20,0,13,0
"ID_669",1997-05-30,0,"MALE",NA,NA,16.709,30,0,14,0
"ID_67",2009-12-12,0,"MALE",0.606109324758842,0.0983772819472617,13.777,28,0,25,0
"ID_693",2012-12-15,0,NA,NA,NA,22.956,31,0,7,0
"ID_694",2012-12-01,1,"MALE",NA,NA,6.46,13,0,11,0
"ID_70",1999-10-15,0,"FEMALE",0.25,0.0530474040632054,13.993,20,0,9,0
"ID_704",1988-10-06,0,"MALE",0.508819538670285,0.0597576264103636,14.052,43,0,41,0
"ID_723",1994-10-25,0,"FEMALE",0.242311276794035,0.111645299145299,15.472,25,0,15,0
"ID_726",1999-05-17,0,"FEMALE",0.256615878107458,0.0286650286650287,11,11,0,5,0
"ID_734",1991-05-18,0,"MALE",NA,NA,11.242,16,0,11,0
"ID_735",2000-11-01,0,"MALE",0.703883495145631,0.0143769968051118,7,7,0,5,0
"ID_736",1988-11-01,0,"MALE",0.598387096774194,0.0108827085852479,18.216,43,0,19,0
"ID_738",2002-11-24,0,NA,NA,NA,15.319,18,0,7,0
"ID_746",1988-12-31,0,"MALE",0.385790172642762,0.0684647302904564,9.871,22,0,21,0
"ID_752",1998-11-03,0,"MALE",0.463172804532578,0.148024750118991,17.563,44,0,44,0
"ID_759",2004-01-01,0,"FEMALE",0.647356580427447,0.00361663652802893,1.791,4,0,30,0
"ID_761",2014-11-01,0,NA,NA,NA,40,40,0,5,0
"ID_769",1994-12-01,0,"FEMALE",0.413669064748201,0.0467741935483871,14.137,31,0,18,0
"ID_772",1995-11-01,0,NA,NA,NA,10.53,23,0,12,0
"ID_773",2013-01-01,0,NA,NA,NA,16.078,24,0,9,0
"ID_789",2001-10-15,1,"MALE",0.624137931034483,0.127586206896552,4.512,6,0,7,0
"ID_790",1993-12-22,0,"FEMALE",NA,NA,15.588,20,0,7,0
"ID_799",1999-11-01,0,"FEMALE",NA,NA,15,15,0,5,0
"ID_8",2004-05-07,0,"MALE",0.590225563909774,0.0987654320987654,15.167,38,1,31,0.0263157894736842
"ID_807",2002-11-01,1,"MALE",NA,NA,30,30,0,5,0
"ID_813",2003-11-01,1,"MALE",NA,NA,16.486,40,1,19,0.025
"ID_821",2003-01-21,0,"MALE",0.850715746421268,0.0412470023980815,14.972,44,0,49,0
"ID_841",2005-12-10,1,"MALE",0.75626423690205,0.0691244239631336,12.922,16,0,11,0
"ID_877",2013-03-01,1,"MALE",1.1440329218107,0.00689655172413793,31.111,89,5,34,0.0561797752808989
"ID_878",2002-11-01,0,"FEMALE",NA,NA,25.947,30,0,6,0
"ID_886",2014-12-01,1,NA,NA,NA,12.402,24,0,12,0
"ID_887",1998-11-14,0,"MALE",0.282622139764997,0.101372756071806,15.986,41,0,56,0
"ID_893",2006-01-15,0,NA,0.579831932773109,0.115961800818554,13.24,23,0,9,0
"ID_9",2011-10-21,1,"FEMALE",NA,NA,13,13,1,5,0.0769230769230769
"ID_923",1998-11-15,0,"MALE",0.446315789473684,0.0848153214774282,15.333,56,0,70,0
"ID_925",2009-12-27,0,"FEMALE",NA,NA,9.474,14,0,10,0
"ID_93",1990-11-01,0,"MALE",0.359827070169604,0.0755706354102406,12.797,56,0,94,0
"ID_946",1995-11-01,0,"FEMALE",NA,NA,14.368,17,0,6,0
"ID_959",2002-11-26,1,"MALE",0.504784688995215,0.151256519677572,17.031,58,1,83,0.0172413793103448
"ID_964",2004-11-15,0,NA,NA,NA,7.606,9,0,6,0
"ID_980",2009-09-17,0,"MALE",0.706122448979592,0.020746887966805,30.993,40,0,8,0
"ID_993",2005-11-20,0,"MALE",0.442094662638469,0.0341708542713568,7.359,19,0,15,0
